epoch,train_loss,train_accuracy,train_macro_f1,val_loss,val_accuracy,val_macro_f1
1,0.5315931992398368,0.8090740740740741,0.8075404126117667,0.4032326857248942,0.8556666666666667,0.8550136452363827
2,0.38509594179965834,0.8589629629629629,0.8583128425332107,0.34663223326206205,0.8743333333333333,0.8731173912143413
3,0.34873415778080624,0.8721851851851852,0.871658001890434,0.3271254450082779,0.8798333333333334,0.8799410667893872
4,0.3245005324482918,0.8801666666666667,0.8797400621604405,0.31804639597733814,0.8868333333333334,0.8855001937097022
5,0.30496358225742976,0.8873333333333333,0.886957763717643,0.312864517668883,0.8841666666666667,0.8847457469938833
6,0.2900095443482752,0.8925740740740741,0.8923447394081535,0.3022575835386912,0.8925,0.8927049436489707
7,0.28006422762517574,0.896074074074074,0.8958004310827121,0.30091262310743333,0.889,0.890048799554428
8,0.26983008290882465,0.9000370370370371,0.8997861907695113,0.30059466461340584,0.8951666666666667,0.8937763950745211
9,0.2610911520542922,0.9028888888888889,0.9026094283829174,0.2939417392015457,0.8938333333333334,0.8945911045511312
10,0.2518521206798377,0.9060925925925926,0.9058404464023372,0.2960903470714887,0.8936666666666667,0.8939693174116187
