model,num_params,best_val_f1,test_accuracy,test_f1,inference_time
linear,7850,0.8632923018787217,0.8418,0.8401945706781729,1.0120246410369873
mlp,203530,0.8945911045511312,0.8835,0.8837707937328968,0.7564389705657959
