epoch,train_loss,train_accuracy,train_macro_f1,val_loss,val_accuracy,val_macro_f1
1,0.6155805066779808,0.7871481481481482,0.7854647775571416,0.4831783980131149,0.8328333333333333,0.8311706832646901
2,0.46335187885496354,0.8389629629629629,0.838057822755402,0.4598636835813522,0.8395,0.8398620059479356
3,0.43770654091128597,0.8481481481481481,0.8474150407145051,0.43222088118394214,0.8495,0.8497744558338296
4,0.425478184333554,0.8527407407407407,0.8520322724137707,0.4280770500500997,0.8483333333333334,0.8482723118828085
5,0.41744955115848115,0.8553888888888889,0.8546682992024925,0.4097808380921682,0.8591666666666666,0.8579529950625066
6,0.4121440266017561,0.8576481481481482,0.8568311872746044,0.42070410350958504,0.8521666666666666,0.8532128206616191
7,0.40558515356646646,0.8587037037037037,0.8579607661437187,0.40079120397567747,0.8636666666666667,0.8632923018787217
8,0.4016284939315584,0.8606851851851852,0.8599916226102442,0.40818508962790173,0.8588333333333333,0.8582994526143274
9,0.3994406516905184,0.8599444444444444,0.8593057544004271,0.4103522072235743,0.8563333333333333,0.8555477995035735
10,0.39660217789588154,0.8616851851851852,0.8610351565532925,0.40140915711720787,0.8598333333333333,0.8600663147857638
